flair_sentiment,flair_prob,svm_sentiment,svm_prob,avg_prob,final_sentiment,Sentiment,Time,Text,processed_text
1,0.9968926310539246,1,0.4169692317267994,0.706930931390362,1,positive,10/4/2023,I recently purchased this pet bed for my dog and he absolutely loves it. The bed is soft comfortable and easy to clean. It's also really durable and has held up well after multiple washes. I highly recommend this product to any pet owner!,"['recently', 'purchased', 'pet', 'bed', 'dog', 'absolutely', 'love', 'bed', 'soft', 'comfortable', 'easy', 'clean', 'durable', 'held', 'multiple', 'wash', 'highly', 'recommend', 'product', 'pet', 'owner']"
1,0.9991829991340637,0,0.4169692317267994,0.7080761154304316,1,positive,6/4/2023,I have to say I was a bit skeptical about this pet toy at first but it's quickly become my dog's favorite toy. It's really well-made and durable and it keeps my dog entertained for hours on end. I would definitely recommend this product to anyone looking for a fun and engaging pet toy.,"['bit', 'skeptical', 'pet', 'toy', 'quickly', 'dog', 'favorite', 'toy', 'durable', 'keep', 'dog', 'entertained', 'hour', 'end', 'definitely', 'recommend', 'product', 'looking', 'fun', 'engaging', 'pet', 'toy']"
1,0.9993072748184204,0,0.4169692317267994,0.7081382532726099,1,positive,2/4/2023,I'm really impressed with this pet food. It's made with high-quality ingredients and my cat absolutely loves it. It's also really affordable compared to other premium pet foods on the market. I would definitely recommend this product to any pet owner looking for a nutritious and delicious food for their pet.,"['impressed', 'pet', 'food', 'high', 'quality', 'ingredient', 'cat', 'absolutely', 'love', 'affordable', 'compared', 'premium', 'pet', 'food', 'market', 'definitely', 'recommend', 'product', 'pet', 'owner', 'looking', 'nutritious', 'delicious', 'food', 'pet']"
1,0.9949020147323608,1,0.4169692317267994,0.7059356232295801,1,positive,1/4/2023,I'm really happy with this pet carrier. It's spacious comfortable and easy to carry around. It's also really well-made and durable so I know it will last for a long time. I would definitely recommend this product to anyone looking for a high-quality pet carrier.,"['happy', 'pet', 'carrier', 'spacious', 'comfortable', 'easy', 'carry', 'durable', 'know', 'long', 'time', 'definitely', 'recommend', 'product', 'looking', 'high', 'quality', 'pet', 'carrier']"
1,0.99933260679245,0,0.4169692317267994,0.7081509192596247,1,positive,4/2/2023,I love this pet leash! It's really well-made and durable and the reflective material makes it easy to see in low light conditions. It's also really comfortable to hold and doesn't rub against my skin like some other leashes do. I would definitely recommend this product to any pet owner.,"['love', 'pet', 'leash', 'durable', 'reflective', 'material', 'make', 'easy', 'low', 'light', 'condition', 'comfortable', 'hold', 'rub', 'skin', 'like', 'leash', 'definitely', 'recommend', 'product', 'pet', 'owner']"
0,7.271766662597656e-06,1,0.4169692317267994,0.208488251746731,0,negative,5/2/2023,I wouldn't recommend this pet food bowl to anyone. It's made of cheap plastic and it's really flimsy. It also doesn't hold very much food so I have to refill it constantly. I would recommend investing in a higher-quality bowl instead.,"['wouldn', 'recommend', 'pet', 'food', 'bowl', 'cheap', 'plastic', 'flimsy', 'hold', 'food', 'refill', 'constantly', 'recommend', 'investing', 'higher', 'quality', 'bowl', 'instead']"
0,7.867813110351562e-06,0,0.4169692317267994,0.20848854976995487,0,negative,6/2/2023,I was really disappointed with this pet food. It had a weird smell and my dog wouldn't eat it. I ended up having to throw it away and buy a different brand. I wouldn't recommend this product to anyone.,"['disappointed', 'pet', 'food', 'weird', 'smell', 'dog', 'wouldn', 'eat', 'ended', 'having', 'throw', 'away', 'buy', 'different', 'brand', 'wouldn', 'recommend', 'product']"
0,6.556510925292969e-06,0,0.4169692317267994,0.20848789411886234,0,negative,7/2/2023,This pet toy looked really cute but it was a total waste of money. It fell apart after just a few minutes of play and my dog could have easily swallowed some of the pieces. I would not recommend this product to any pet owner.,"['pet', 'toy', 'looked', 'cute', 'total', 'waste', 'money', 'fell', 'apart', 'minute', 'play', 'dog', 'easily', 'swallowed', 'piece', 'recommend', 'product', 'pet', 'owner']"
0,1.633167266845703e-05,1,0.4169692317267994,0.20849278169973393,0,negative,8/2/2023,I was really excited to try out this pet grooming tool but it was a huge disappointment. It didn't do a good job of removing loose fur from my dog's coat and it was really uncomfortable to use. I wouldn't recommend this product to anyone.,"['excited', 'try', 'pet', 'grooming', 'tool', 'huge', 'disappointment', 'good', 'job', 'removing', 'loose', 'fur', 'dog', 'coat', 'uncomfortable', 'use', 'wouldn', 'recommend', 'product']"
0,7.033348083496094e-06,1,0.4169692317267994,0.20848813253744145,0,negative,10/2/2023,This pet carrier was a nightmare to use. It was really hard to set up and my cat hated being inside it. The straps were also really uncomfortable to wear and the carrier felt really flimsy. I would not recommend this product to any pet owner.,"['pet', 'carrier', 'nightmare', 'use', 'hard', 'set', 'cat', 'hated', 'inside', 'strap', 'uncomfortable', 'wear', 'carrier', 'felt', 'flimsy', 'recommend', 'product', 'pet', 'owner']"
